First Name,Last Name,Make,Model,Reg Number,Phone Number,Email Address,Colour,Deposit,,,Sale Price,Balance to Finance,Total Amount Payable ,Baloon Payment,Monthly Payment,,Rate,Start Date,Payments Made,Settlement,Length of Agreement,Interest Rebate,Settlement,Valuation,Equity,Revalue in ,Mot mileage ,Mot Mileage 2,Mot Mileage 3,Mileage at start of agreement,Estimated mileage 
Daniel,Johnson,Chevrolet,Camry,JK84KZA,,,red,1000,,,40000,2995,3444.25,1048.25,66.56,,1.15,22-Jan-21,28,532.4444444,36,99.83333333,1480.86,18500,17019.14,256,20000,25000,30000,15000,
Daniel,Anderson,Audi,3 Series,JY28YNX,,,red,1000,,,40000,3995,4594.25,1398.25,88.78,,1.15,27-Apr-21,25,976.5555556,36,183.1041667,2191.7,18500,16308.3,184,,,,,
Matthew,Davis,Audi,Altima,EL58OAT,,,red,1000,,,40000,5995,6894.25,2098.25,133.22,,1.15,16-Dec-22,6,3996.666667,36,749.375,5345.54,18500,13154.46,99,,,,,
Daniel,Garcia,Chevrolet,Elantra,LK68LQL,,,red,1000,,,40000,6995,8044.25,2448.25,155.44,,1.15,23-Aug-22,9,4197,36,786.9375,5858.31,18500,12641.69,81,,,,,
John,Jones,Toyota,3 Series,ZR77WWK,,,red,1000,,,40000,10995,12644.25,3848.25,244.33,,1.15,23-Feb-22,15,5131,36,962.0625,8017.19,18500,10482.81,43,,,,,
Mike,Johnson,Mercedes,A4,SA62UPQ,,,red,1000,,,40000,12995,14944.25,4548.25,288.78,,1.15,10-Sep-21,21,4331.666667,36,812.1875,8067.73,18500,10432.27,36,,,,,
Jessica,Williams,Kia,Silverado,QH34IGP,,,red,1000,,,40000,14995,17244.25,5248.25,333.22,,1.15,17-Nov-20,30,1999.333333,36,374.875,6872.71,18500,11627.29,35,,,,,
Daniel,Williams,Audi,Elantra,AP50JTK,,,red,1000,,,40000,11995,13794.25,4198.25,266.56,,1.15,7-May-22,13,6130.777778,36,1149.520833,9179.51,18500,9320.49,35,,,,,
Sarah,Garcia,Chevrolet,A4,PS53PEV,,,red,1000,,,40000,17995,20694.25,6298.25,399.89,,1.15,13-Dec-20,30,2399.333333,36,449.875,8247.71,18500,10252.29,26,,,,,
Emily,Martinez,Toyota,Altima,UV82RZP,,,red,1000,,,40000,17995,20694.25,6298.25,399.89,,1.15,7-Mar-21,27,3599,36,674.8125,9222.44,18500,9277.56,23,,,,,
Robert,Davis,Nissan,Camry,BY94ZRT,,,red,1000,,,40000,32995,37944.25,11548.25,733.22,,1.15,15-Jul-20,35,733.2222222,36,137.4791667,12143.99,18500,6356.01,9,,,,,
Daniel,Smith,Kia,Accord,KV63KTS,,,red,1000,,,40000,35995,41394.25,12598.25,799.89,,1.15,6-May-20,37,-799.8888889,36,-149.9791667,11948.34,18500,6551.66,8,,,,,
Daniel,Williams,Hyundai,3 Series,CP14VUQ,,,red,1000,,,40000,18995,21844.25,6648.25,422.11,,1.15,16-Jul-22,11,10552.77778,36,1978.645833,15222.38,18500,3277.62,8,,,,,
Mike,Smith,Honda,Optima,HN59ITV,,,red,1000,,,40000,18995,21844.25,6648.25,422.11,,1.15,4-Aug-22,10,10974.88889,36,2057.791667,15565.35,18500,2934.65,7,,,,,
Sarah,Johnson,Honda,Optima,MB63XJL,,,red,1000,,,40000,30995,35644.25,10848.25,688.78,,1.15,18-Feb-21,27,6199,36,1162.3125,15884.94,18500,2615.06,4,,,,,
Mike,Martinez,Honda,Altima,ZR93MCA,,,red,1000,,,40000,50995,58644.25,17848.25,1133.22,,1.15,27-Apr-20,37,-1133.222222,36,-212.4791667,16927.51,18500,1572.49,1,,,,,
David,Williams,Honda,3 Series,CS43ORV,,,red,1000,,,40000,33995,39094.25,11898.25,755.44,,1.15,13-Apr-21,26,7554.444444,36,1416.458333,18036.24,18500,463.76,1,,,,,
Mike,Smith,Chevrolet,Optima,PQ50TMW,,,red,1000,,,40000,52995,60944.25,18548.25,1177.67,,1.15,25-May-20,36,0,36,0,18548.25,18500,-48.25,0,,,,,
Mike,Johnson,BMW,Altima,MH73ZTD,,,red,1000,,,40000,20995,24144.25,7348.25,466.56,,1.15,29-Jan-23,4,14929.77778,36,2799.333333,19478.69,18500,-978.69,-2,,,,,
Jessica,Miller,Ford,3 Series,FR40RQM,,,red,1000,,,40000,26995,31044.25,9448.25,599.89,,1.15,1-Apr-22,14,13197.55556,36,2474.541667,20171.26,18500,-1671.26,-3,,,,,
David,Brown,Nissan,Silverado,HJ75CPZ,,,red,1000,,,40000,50995,58644.25,17848.25,1133.22,,1.15,30-Oct-20,31,5666.111111,36,1062.395833,22451.97,18500,-3951.97,-3,,,,,
Jessica,Johnson,Hyundai,3 Series,PC78FNA,,,red,1000,,,40000,60995,70144.25,21348.25,1355.44,,1.15,6-Aug-20,34,2710.888889,36,508.2916667,23550.85,18500,-5050.85,-4,,,,,
Emily,Johnson,Mercedes,Altima,QW32ZEQ,,,red,1000,,,40000,23995,27594.25,8398.25,533.22,,1.15,8-Oct-22,8,14930.22222,36,2799.416667,20529.06,18500,-2029.06,-4,,,,,
Jessica,Garcia,Ford,Altima,NQ39URT,,,red,1000,,,40000,36995,42544.25,12948.25,822.11,,1.15,5-Jul-21,23,10687.44444,36,2003.895833,21631.8,18500,-3131.8,-4,,,,,
Sarah,Smith,Kia,A4,BJ32ZWT,,,red,1000,,,40000,42995,49444.25,15048.25,955.44,,1.15,13-Apr-21,26,9554.444444,36,1791.458333,22811.24,18500,-4311.24,-5,,,,,
Jennifer,Brown,Kia,Elantra,ML85HUQ,,,red,1000,,,40000,44995,51744.25,15748.25,999.89,,1.15,19-May-21,24,11998.66667,36,2249.75,25497.17,18500,-6997.17,-7,,,,,
Robert,Garcia,Kia,Optima,YU36SKD,,,red,1000,,,40000,36995,42544.25,12948.25,822.11,,1.15,10-Mar-22,15,17264.33333,36,3237.0625,26975.52,18500,-8475.52,-10,,,,,
David,Anderson,BMW,3 Series,QB14NNE,,,red,1000,,,40000,46995,54044.25,16448.25,1044.33,,1.15,12-Oct-21,20,16709.33333,36,3133,30024.58,18500,-11524.58,-11,,,,,
Sarah,Garcia,Hyundai,Accord,EX97VFC,,,red,1000,,,40000,36995,42544.25,12948.25,822.11,,1.15,23-Apr-22,13,18908.55556,36,3545.354167,28311.45,18500,-9811.45,-12,,,,,
Mike,Jones,Hyundai,Elantra,DF44ZKA,,,red,1000,,,40000,32995,37944.25,11548.25,733.22,,1.15,28-Oct-22,7,21263.44444,36,3986.895833,28824.8,18500,-10324.8,-14,,,,,
Jessica,Brown,Honda,3 Series,VJ44JGA,,,red,1000,,,40000,53995,62094.25,18898.25,1199.89,,1.15,5-Nov-21,19,20398.11111,36,3824.645833,35471.72,18500,-16971.72,-14,,,,,
